drug_name,drug_smile,excp_name,excp_smile,drug_delta_d,drug_delta_p,drug_delta_h,excp_delta_d,excp_delta_p,excp_delta_h,HSP_distance,class
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,18.62250542,10.86533406,11.98559766,17.4346444,15.34478192,13.78781519,28.95749627,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,succinic_acid,C(CC(=O)O)C(=O)O,18.62250542,10.86533406,11.98559766,17.5514903,7.946605963,15.15963616,23.18178757,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,octyl_gallate,CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,18.62250542,10.86533406,11.98559766,17.57266765,10.07375441,10.34507071,7.726564362,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,DL-malic_acid,C(C(C(=O)O)O)C(=O)O,18.62250542,10.86533406,11.98559766,17.53504598,9.403026588,16.75629812,29.62819805,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,adipic_acid,C(CCC(=O)O)CC(=O)O,18.62250542,10.86533406,11.98559766,17.44565127,7.984547398,12.6149604,14.23497192,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,Triazabicyclodecene,C1CNC2=NCCCN2C1,18.62250542,10.86533406,11.98559766,18.33794889,8.899248771,9.988488166,8.177827362,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,DBU,C1CCC2=NCCCN2CC1,18.62250542,10.86533406,11.98559766,17.83435466,6.557546802,5.563241566,62.2884153,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,L-asparagine,C([C@@H](C(=O)O)N)C(=O)N,18.62250542,10.86533406,11.98559766,18.18056961,19.35613991,21.81000559,169.3940043,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,18.62250542,10.86533406,11.98559766,17.65395412,19.23707522,17.93310836,109.2113,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,"3,3'-thiodipropionic_acid",C(CSCCC(=O)O)C(=O)O,18.62250542,10.86533406,11.98559766,17.24694071,10.33521188,13.96288092,11.75939165,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,18.62250542,10.86533406,11.98559766,17.29545915,19.07694911,17.48052125,104.6690141,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,borneol,C[C@]12CC[C@H](C1(C)C)C[C@H]2O,18.62250542,10.86533406,11.98559766,16.76918117,5.855849954,10.92557587,39.95782027,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,cinnamaldehyde,C1=CC=C(C=C1)/C=C/C=O,18.62250542,10.86533406,11.98559766,19.17805714,9.240588986,6.822153965,30.53549824,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,aspartame,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N,18.62250542,10.86533406,11.98559766,18.27396772,13.82660448,15.49386628,21.56298531,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,squalene,CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C,18.62250542,10.86533406,11.98559766,16.0601683,1.555463302,7.342429252,134.4949923,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,benzaldehyde,C1=CC=C(C=C1)C=O,18.62250542,10.86533406,11.98559766,19.33866272,7.933888592,5.663796399,50.61006886,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,sodium_deoxycholate,C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C.[Na+],18.62250542,10.86533406,11.98559766,17.36179797,6.572261802,13.22197792,26.31663858,1
