Model,Feature,Avg_AUC,Std_AUC,Repeat_1,Repeat_2,Repeat_3,Repeat_4,Repeat_5
GaussianNB,FP,0.7014743336800946,0.00952047188690408,0.7014743336800947,0.7020213796319548,0.7167736843993255,0.7003802417763747,0.6867220289127238
KNeighborsClassifier,FP,0.6924884313233132,0.01146310010327814,0.6869193241740503,0.7065860745417368,0.7060300606234531,0.6818613911109517,0.6810453061663736
DecisionTreeClassifier,FP,0.6030311726512896,0.013027226716429936,0.5939573842235535,0.587948846719518,0.6223768698209994,0.5966926139828533,0.6141801485095241
RandomForestClassifier,FP,0.8090845499874447,0.014992299196026454,0.807753703770133,0.8339760375937153,0.7966692972701509,0.7915485884420849,0.8154751228611401
AdaBoostClassifier,FP,0.7744897227104781,0.008691221551945925,0.7695770707034472,0.7673888868960073,0.7860601929906375,0.7655145819134054,0.7839078810488933
MLPClassifier,FP,0.7722351759515013,0.009553846326714277,0.7820784158984109,0.7580442658822686,0.7807870287333644,0.7639631237220648,0.7763030455213975
LinearSVC,FP,0.757721419091007,0.027163154020283232,0.732001291387165,0.7741327976468056,0.7190874197367005,0.7893245327689493,0.7740610539154141
GaussianNB,HSP,0.6979911755210388,0.00825723598253505,0.6953761165118197,0.6893496430749363,0.7059941887577573,0.6898697851275245,0.7093661441331564
KNeighborsClassifier,HSP,0.6779800552426732,0.019105314416184734,0.6950891415862539,0.6490565699322022,0.6824174050292355,0.6636564192703663,0.6996807403953079
DecisionTreeClassifier,HSP,0.6002977364852746,0.024347556820786997,0.5961455680309933,0.5628026688668077,0.5890429386232378,0.6240180076765792,0.629479499228755
RandomForestClassifier,HSP,0.7897603759371525,0.008141298723799668,0.8028033863041217,0.7913871650464541,0.7811547153567457,0.7809753560282671,0.792481256950174
AdaBoostClassifier,HSP,0.774256555583456,0.009346458147423305,0.7791548588442085,0.7668508089105714,0.7903737848405497,0.7657836209061233,0.7691197044158267
MLPClassifier,HSP,0.7160239624062846,0.007823722164816182,0.7191053556695484,0.7124690605158375,0.7292391577285934,0.705904509093518,0.7134017290239265
LinearSVC,HSP,0.697772357140295,0.008246493317886358,0.6835204648993795,0.705491982638017,0.7023711303224881,0.7039494924131006,0.6935287154284895
GaussianNB,All,0.7060659324891488,0.011470014331628257,0.6867220289127238,0.7063977472468344,0.7020213796319548,0.7167736843993255,0.7184148222549056
KNeighborsClassifier,All,0.6884133873802777,0.014260505477051518,0.6879327043799548,0.6954657961760591,0.6877354091186284,0.707249704057108,0.663683323169638
DecisionTreeClassifier,All,0.5951626789109301,0.01781880957340238,0.628932453276895,0.5797521254080424,0.5950514761272734,0.5813932632636223,0.5906840764788177
RandomForestClassifier,All,0.8179538687807153,0.008100288257151932,0.8101302148724755,0.8072873695160885,0.8197707787782043,0.8286131936722028,0.8239677870646054
AdaBoostClassifier,All,0.7712791907307099,0.01361331560806798,0.7673350790974639,0.7885712235893388,0.7778006959141945,0.7477042005954728,0.7749847544570793
MLPClassifier,All,0.7665638339850056,0.013206484468377471,0.7455967284858486,0.7638734440578254,0.7639989955877605,0.7735588477956739,0.7857911539979195
LinearSVC,All,0.7578541449940812,0.014560379238880032,0.7767335079097464,0.7731104494744772,0.7393550238547906,0.7518204971840585,0.748251246547333
