drug_name,drug_smi,drug_δd_HSPiP,drug_δp_HSPiP,drug_δh_HSPiP,excp_name,excp_smi,excp_δd_HSPiP,excp_δp_HSPiP,excp_δh_HSPiP,HSP distance,CLASS
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,19.56,12.51,8.5,2.8,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,succinic_acid,C(CC(=O)O)C(=O)O,17.31,10.61,21.83,15.1,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,octyl_gallate,CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,18.28,6.7,5.16,9.5,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,DL-malic_acid,C(C(C(=O)O)O)C(=O)O,17.74,12.57,26.01,18.3,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,adipic_acid,C(CCC(=O)O)CC(=O)O,16.98,8.47,17.7,12.9,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,Triazabicyclodecene,C1CNC2=NCCCN2C1,18.2,11.97,6.46,6.0,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,DBU,C1CCC2=NCCCN2CC1,17.68,6.35,4.12,10.8,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,L-asparagine,C([C@@H](C(=O)O)N)C(=O)N,17.97,15.84,21.72,14.2,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,20.27,19.97,12.26,7.1,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,"3,3'-thiodipropionic_acid",C(CSCCC(=O)O)C(=O)O,17.99,9.33,17.18,11.0,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,19.72,15.42,10.5,3.1,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,borneol,C[C@]12CC[C@H](C1(C)C)C[C@H]2O,16.9,3.65,7.31,12.9,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,cinnamaldehyde,C1=CC=C(C=C1)/C=C/C=O,18.72,6.69,5.42,8.9,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,aspartame,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N,18.51,10.27,12.2,6.7,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,squalene,CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C,16.95,0.86,3.12,16.1,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,benzaldehyde,C1=CC=C(C=C1)C=O,18.88,7.99,6.22,7.5,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,cholic_acid,C[C@@H]([C@H]1CC[C@@H]2[C@]1(C)[C@@H](O)C[C@H]3[C@H]2[C@H](O)C[C@H]4[C@]3(C)CC[C@@H](O)C4)CCC(O)=O,17.59,5.89,9.8,10.2,1
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,20.8,13.82,8.86,glycocholic_acid,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,18.16,9.57,9.65,6.8,1
