Name	SMILES	Formula	ƒÂD	ƒÂP	ƒÂH	ƒÂHDon	ƒÂHAcc	MWt	Density	MVol
DB00006	Error									
DB00014	Error									
DB00035	NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O	C46H64N14O12S2	20.64	31.93	18.21	39	8.9	1069.3	1.373	778.9
DB00050	Error									
DB00091	CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C	C62H111N11O12	19.98	8.83	6.62	0.1	0.7	1202.6	0.997	1206.6
DB00093	NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O	C46H65N13O11S2	20.24	38.53	10.82	35.6	3.7	1040.2	1.347	772.3
DB00104	Error									
DB00115	Error									
DB00116	NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1	C19H23N7O6	19.81	15.59	14.61	14.2	8.7	445.4	1.471	302.8
DB00117	N[C@@H](CC1=CN=CN1)C(O)=O	C6H9N3O2	18.6	11.78	17.03	13.2	10.2	155.2	1.297	119.7
DB00118	Error									
DB00119	CC(=O)C(O)=O	C3H4O3	17.77	13.05	16.95	12	11.3	88.1	1.213	72.6
DB00120	N[C@@H](CC1=CC=CC=C1)C(O)=O	C9H11NO2	18.46	6.04	12.52	9	8.2	165.2	1.153	143.3
DB00121	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2	C10H16N2O3S	18.61	12.54	11.01	9.5	6.8	244.3	1.29	189.4
DB00122	Error									
DB00123	NCCCC[C@H](N)C(O)=O	C6H14N2O2	16.77	7.19	14.28	9	9.1	146.2	1.079	135.5
DB00125	N[C@@H](CCCNC(N)=N)C(O)=O	C6H14N4O2	17.81	8.66	21.12	10.2	15.8	174.2	1.203	144.8
DB00126	[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO	C6H8O6	20.31	14.23	25.82	19.9	20.5	176.1	1.061	166
DB00127	NCCCNCCCCNCCCN	C10H26N4	16.75	5.16	7.44	4.7	5.3	202.3	0.926	218.5
DB00128	N[C@@H](CC(O)=O)C(O)=O	C4H7NO4	17.1	10.55	23.09	16.5	14	133.1	1.373	96.9
DB00129	NCCC[C@H](N)C(O)=O	C5H12N2O2	16.88	8.15	16	9.7	10.3	132.2	1.115	118.5
DB00130	N[C@@H](CCC(N)=O)C(O)=O	C5H10N2O3	17.69	14.65	20.39	13.7	12.5	146.2	1.262	115.8
DB00131	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1	C10H14N5O7P	20.88	19.72	29.22	14.1	21.5	347.2	1.597	217.5
DB00132	CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O	C18H30O2	16.9	3.29	5.84	4.8	4.3	278.4	0.918	303.1
DB00133	N[C@@H](CO)C(O)=O	C3H7NO3	17.7	11.67	24.25	16.9	16.9	105.1	1.326	79.3
DB00134	CSCC[C@H](N)C(O)=O	C5H11NO2S	17.9	7.81	14.53	9	10.1	149.2	1.169	127.7
DB00135	N[C@@H](CC1=CC=C(O)C=C1)C(O)=O	C9H11NO3	19.49	7.94	17.14	13.4	10.3	181.2	1.247	145.3
DB00136	C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C	C27H44O3	17.29	3.94	6.54	4.4	6.3	416.6	1.003	415.3
DB00137	C\C(\C=C\C=C(/C)\C=C\C1C(C)=CC(O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CC(O)CC1(C)C	C40H56O2	17.66	1.21	4.04	2.3	2.9	568.8	0.973	584.8
DB00138	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	C6H12N2O4S2	17.32	10.88	18.36	10.6	12.3	240.3	1.445	166.3
DB00139	OC(=O)CCC(O)=O	C4H6O4	17.31	10.61	21.83	17.6	13	118.1	1.29	91.5
DB00140	CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1	C17H20N4O6	19.58	17.01	12.85	13.9	9.2	376.4	1.331	282.8
DB00141	[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO	C8H15NO6	18.31	16.72	20.51	14.2	14.4	221.2	1.277	173.2
DB00143	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O	C10H17N3O6S	17.93	17.84	18.47	60.5	11.3	307.3	1.445	212.6
DB00144	CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O	C13H24NO10P	17.39	11.86	17.77	8.5	13	385.3	1.297	297
DB00145	NCC(O)=O	C2H5NO2	17.04	10.8	19.98	13.8	13.9	75.1	1.183	63.4
