Name	SMILES	Formula	ƒÂD	ƒÂP	ƒÂH	ƒÂHDon	ƒÂHAcc	MWt	Density	MVol
POLYBUTENE_(1400_MW)	Error									
Sorbic_acid	C/C=C/C=C/C(=O)O	C6H8O2	17.66	6.15	12.67	9.9	7.8	112.1	0.997	112.4
Calcium_sorbate	Error									
Potassium_sorbate	Error									
Sodium_sorbate	Error									
ANETHOLE	C/C=C/c1ccc(OC)cc1	C10H12O	18.44	4.47	5.05	0.5	5.1	148.2	0.969	152.9
PROPENYL_GUAETHOL	C/C=C/c1ccc(OCC)c(O)c1	C11H14O2	18.51	5.39	9.06	6	6.4	178.2	1.034	172.4
PIPERAZINE	C1CNCCN1	C4H10N2	17.91	8.1	9.87	6.7	7.8	86.1	0.926	93.1
PIPERAZINE_HEXAHYDRATE	Error									
TYLOXAPOL	Error									
POLOXAMER_407	Error									
HIGH_DENSITY_POLYETHYLENE	C=C	C2H4	13.73	4.45	3.37	0.1	3	28.1	0.508	55.2
POLYISOBUTYLENE_MEDIUM_MOLECULAR_WEIGHT	C=C(C)C	C4H8	14.51	2.87	2.84	0.1	3.1	56.1	0.65	86.3
METHACRYLIC_ACID_-_METHYL_METHACRYLATE_COPOLYMER_(1:2)	Error									
POLY(METHYL_ACRYLATE-CO-METHYL_METHACRYLATE-CO-METHACRYLIC_ACID_7:3:1;_280000_MW)	Error									
METHACRYLIC_ACID_-_ETHYL_ACRYLATE_COPOLYMER_(1:1)_TYPE_A	Error									
DIMETHYLAMINOETHYL_METHACRYLATE_-_BUTYL_METHACRYLATE_-_METHYL_METHACRYLATE_COPOLYMER	Error									
AMMONIO_METHACRYLATE_COPOLYMER_TYPE_B	Error									
METHYL_ACRYLATE_-_METHYL_METHACRYLATE	Error									
ETHYL_ACRYLATE_AND_METHYL_METHACRYLATE_COPOLYMER_(2:1;_750000_MW)	Error									
POLYHYDROXYETHYL_METHACRYLATE	C=C(C)C(=O)OCCO	C6H10O3	16.84	7.26	11.48	7	8.7	130.1	1.056	123.2
POLACRILIN_POTASSIUM	Error									
"LIMONENE,_(+/-)-"	C=C(C)C1CC=C(C)CC1	C10H16	16.67	1.92	3.19	0.1	3.2	136.2	0.843	161.5
"CARVONE,_(-)-"	C=C(C)[C@@H]1CC=C(C)C(=O)C1	C10H14O	17.47	5.81	3.73	0.1	4	150.2	0.945	158.9
ETHYLENE-PROPYLENE_COPOLYMER	Error									
ETHYLENE-VINYL_ACETATE_COPOLYMERS	Error									
Vitamin_D2_(ergocalciferol)	C=C1CC[C@H](O)C/C1=C\C=C1/CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C	C28H44O	17.37	1.58	4.08	2.8	3.8	396.6	0.951	417.1
Vitamin_D3_(cholecalciferol)	C=C1CC[C@H](O)C/C1=C\C=C1/CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C	C27H44O	17.14	1.88	4.43	2.8	3.9	384.6	0.945	406.8
POLYPROPYLENE	C=CC	C3H6	14.33	3.45	3.76	0.5	3.2	42.1	0.598	70.3
ACRYLIC_ACID-ISOOCTYL_ACRYLATE_COPOLYMER	Error									
"Methyl_acrylate,_monomeric_(packaging)"	C=CC(=O)OC	C4H6O2	16.05	6.21	7.53	0.1	7.8	86.1	0.934	92.2
"Ethyl_acrylate,_polymeric_(packaging)"	C=CC(=O)OCC	C5H8O2	15.9	5.45	6.57	0.1	6.7	100.1	0.916	109.3
ISOOCTYL_ACRYLATE	C=CC(=O)OCCCCCC(C)C	C11H20O2	15.82	2.86	3.53	0.1	3.6	184.3	0.875	210.5
SODIUM_POLYACRYLATE_(2500000_MW)	Error									
POLYQUATERNIUM-7_(70/30_ACRYLAMIDE/DADMAC;_1600000_MW)	Error									
UNDECYLENIC_ACID	C=CCCCCCCCCC(=O)O	C11H20O2	16.34	3.9	7.31	6.1	4.6	184.3	0.91	202.5
POVIDONE/EICOSENE_COPOLYMER	Error									
EUGENOL	C=CCc1ccc(O)c(OC)c1	C10H12O2	18.46	5.62	9.52	6	6.7	164.2	1.052	156.1
POLYVINYL_CHLORIDE	C=CCl	C2H3Cl	15.63	5.59	3.52	1.1	2.6	62.5	0.941	66.4
"POVIDONE,_UNSPECIFIED"	C=CN1CCCC1=O	C6H9NO	17.92	8.42	6.26	3.3	5.4	111.1	1.004	110.7
COPOVIDONE	Error									
"POLYVINYL_ALCOHOL,_UNSPECIFIED"	C=CO	C2H4O	16.37	9.64	17.81	12.8	12	44.1	0.833	52.9
POLYVINYL_ACETATE_PHTHALATE	Error									
BUTYL_ESTER_OF_METHYL_VINYL_ETHER/MALEIC_ANHYDRIDE_COPOLYMER_(125000_MW)	Error									
PVM/MA_COPOLYMER	Error									
SODIUM_POLYSTYRENE_SULFONATE	Error									
FRAGRANCE_UNGERER_N5195	C=O	CH2O	12.81	13.69	15	0.1	15	30	0.814	36.9
METHYLBORONIC_ACID	CB(O)O	CH5BO2	18.39	2.64	37.84	26.9	27.3	59.9	1.051	57
ACETONITRILE	CC#N	C2H3N	15.61	16.64	8.32	4.2	6.4	41.1	0.769	53.4
.BETA.-IONONE	CC(=O)/C=C/C1=C(C)CCCC1(C)C	C13H20O	16.97	3.52	3.16	0.2	3.5	192.3	0.924	208.2
Diacetyl	CC(=O)C(C)=O	C4H6O2	17.08	12.24	7.4	0.8	6.5	86.1	0.999	86.2
DEHYDROACETIC_ACID	CC(=O)C1C(=O)C=C(C)OC1=O	C8H8O4	18.26	12.26	6.99	2.1	7.1	168.1	1.266	132.8
Isopropyl_citrate	Error									
LEVULINIC_ACID	CC(=O)CCC(=O)O	C5H8O3	17.34	10.37	13.84	9.6	9	116.1	1.104	105.1
"N,N-DIMETHYLACETAMIDE"	CC(=O)N(C)C	C4H9NO	17.04	11.58	10.16	6	8.3	87.1	0.918	94.9
SULFACETAMIDE_SODIUM	Error									
ACETYLCYSTEINE	CC(=O)NC(CS)C(=O)O	C5H9NO3S	18.74	15.24	17.01	17.5	11.4	163.2	1.317	123.9
"ACETYLTRYPTOPHAN,_DL-"	CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]	C13H14N2O3	19.82	12.52	12.73	9	8	246.3	1.293	190.4
HYALURONATE_SODIUM	Error									
DIATRIZOIC_ACID	CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I	C11H9I3N2O4	22.84	14.6	13.93	10.7	6.8	613.9	2.621	234.2
ACETAMINOPHEN	CC(=O)Nc1ccc(O)cc1	C8H9NO2	20.17	13.33	14.36	11.9	8.8	151.2	1.206	125.3
Acetic_acid	CC(=O)O	C2H4O2	15.2	6.58	13.62	9.8	8.1	60.1	1.045	57.5
Sodium_diacetate	Error									
HYPROMELLOSE_ACETATE_SUCCINATE_06081224_(3_MM2/S)	Error									
LYSINE_ACETATE	Error									
CROSCARMELLOSE	Error									
Sodium_Carboxymethyl_cellulose	Error									
ACETIC_ANHYDRIDE	CC(=O)OC(C)=O	C4H6O3	16.18	11.74	9.68	0.1	9.5	102.1	1.071	95.3
Vitamin_A_acetate	CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C	C22H32O2	17.25	1.5	2.75	0.1	3.3	328.5	0.958	343
PROPYLENE_GLYCOL_DIACETATE	CC(=O)OCC(C)OC(C)=O	C7H12O4	16.57	5.56	7.82	0.1	8.2	160.2	1.057	151.5
TRIACETIN	CC(=O)OCC(COC(C)=O)OC(C)=O	C9H14O6	16.84	5.82	8.67	0.1	9.1	218.2	1.153	189.3
BENZYL_ACETATE	CC(=O)OCc1ccccc1	C9H10O2	17.92	4.31	6.02	0.1	5.9	150.2	1.051	142.9
PHENYLMERCURIC_ACETATE	CC(=O)O[Hg]c1ccccc1	C8H8O2	18.15	4.64	6.35	0.1	6.3	136.1	1.072	127
alpha-Tocopherol_acetate	CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2	C31H52O3	16.75	1.38	2.01	0.1	2.4	472.7	0.956	494.4
".ALPHA.-TOCOPHEROL_ACETATE,_DL-"	CC(=O)Oc1c(C)c(C)c2c(c1C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2	C31H52O3	16.75	1.38	2.01	0.1	2.4	472.7	0.956	494.4
ALUMINUM_ACETATE	Error									
ZINC_ACETATE	Error									
Calcium_acetate	Error									
MAGNESIUM_ACETATE	Error									
Zinc_acetate	Error									
SODIUM_ACETATE	Error									
ALUMINUM_MONOACETATE	Error									
POTASSIUM_ACETATE	Error									
AMMONIUM_ACETATE	Error									
Sodium_acetate	Error									
ACETOPHENONE	CC(=O)c1ccccc1	C8H8O	18.68	6.77	4.51	0.8	3.8	120.1	1.021	117.7
OCTOXYNOL-9	CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1	C16H26O2	16.77	3.91	6.67	4.1	4.7	250.4	0.952	262.9
ENTSUFON	CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCS(=O)(=O)O)cc1	C20H34O6S	17.2	8.23	10.16	5.1	7.6	402.5	1.102	365.2
ENTSUFON_SODIUM	Error									
BENZETHONIUM_CHLORIDE	Error									
TERT-BUTYL_ALCOHOL	CC(C)(C)O	C4H10O	15.38	5.5	14.68	7.6	10.6	74.1	0.796	93.1
TERT-BUTYL_HYDROPEROXIDE	CC(C)(C)OO	C4H10O2	15.28	8.95	13.44	9.4	9.3	90.1	0.886	101.8
TERT-BUTYLHYDROQUINONE	CC(C)(C)c1cc(O)ccc1O	C10H14O2	17.85	4.99	10.75	9.2	5.7	166.2	1.021	162.8
Calcium_pantothenate	Error									
D-Pantothenyl_alcohol	CC(C)(CO)[C@@H](O)C(=O)NCCCO	C9H19NO4	17.59	13.59	17.2	11.9	12.4	205.3	1.148	178.8
AMINOMETHYLPROPANOL	CC(C)(N)CO	C4H11NO	16.43	7.14	14.68	9.2	9.5	89.1	0.906	98.4
CHLOROBUTANOL	CC(C)(O)C(Cl)(Cl)Cl	C4H7Cl3O	17.45	4.09	7.94	6.3	4.8	177.4	1.349	131.5
CHLOROBUTANOL_HEMIHYDRATE	Error									
D-_or_DL-_Sodium_pantothenate	Error									
ACETONE_SODIUM_BISULFITE	Error									
ACETONE	CC(C)=O	C3H6O	15.67	9.1	6.53	0.9	5.4	58.1	0.802	72.4
SODIUM_BISULFATE_ACETONE	Error									
ISOBUTANE	CC(C)C	C4H10	14.06	0.1	0.1	0.1	0.1	58.1	0.618	94
VALINE	CC(C)C(N)C(=O)O	C5H11NO2	16.27	6.79	12.79	9.9	8.5	117.1	1.008	116.2
LEUCINE	CC(C)CC(N)C(=O)O	C6H13NO2	16.21	4.37	12.7	9.4	7.9	131.2	0.985	133.2
CHOLETH-24	CC(C)CCCC(C)C1CCC2C3CC=C4CC(OCCO)CCC4(C)C3CCC12C	C29H50O2	17.21	2.36	4.79	3	3.5	430.7	0.974	442.1
SQUALANE	CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C	C30H62	15.86	0.1	0.1	0.1	0.1	422.8	0.804	525.7
ISOPROPYL_ISOSTEARATE	CC(C)CCCCCCCCCCCCCCC(=O)OC(C)C	C21H42O2	15.75	1.63	1.97	0.1	2	326.5	0.855	382.1
GLYCERYL_ISOSTEARATE	CC(C)CCCCCCCCCCCCCCC(=O)OC(CO)CO	C21H42O4	16.09	4.3	7.76	6.6	5.8	358.5	0.952	376.8
PEG-6_ISOSTEARATE	CC(C)CCCCCCCCCCCCCCC(=O)OCCO	C20H40O3	15.94	3.37	5.55	4	4.3	328.5	0.908	361.7
ISOSTEARYL_ALCOHOL	CC(C)CCCCCCCCCCCCCCCO	C18H38O	15.88	2.48	5.43	4.4	3.5	270.5	0.835	323.9
CHOLESTEROL	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	C27H46O	17.18	2.09	3.85	2.8	2.7	386.6	0.957	404
SODIUM_CHOLESTERYL_SULFATE	Error									
ISOBUTYL_ALCOHOL	CC(C)CO	C4H10O	15.46	6.11	12.47	9.1	8.1	74.1	0.792	93.5
DIISOPROPYLBENZOTHIAZYL-2-SULFENAMIDE	CC(C)N(Sc1nc2ccccc2s1)C(C)C	C13H18N2S2	18.99	5.19	3.86	0.1	3.8	266.4	1.125	236.7
ISOPROPYL_ALCOHOL	CC(C)O	C3H8O	15.47	7.18	12.84	10	10	60.1	0.793	75.7
DIISOPROPYL_ADIPATE	CC(C)OC(=O)CCCCC(=O)OC(C)C	C12H22O4	15.89	3.87	4.57	0.1	4.8	230.3	0.963	239.1
LEVOMENTHOL	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O	C10H20O	16.45	3.51	6.91	5	5.2	156.3	0.839	186.2
TRICHLOROETHANE	CC(Cl)(Cl)Cl	C2H3Cl3	16.68	2.32	2.26	1.3	1.3	133.4	1.366	97.7
ALANINE	CC(N)C(=O)O	C3H7NO2	16.83	8.82	18	12.7	11.7	89.1	1.102	80.8
Lactic_acid	CC(O)C(=O)O	C3H6O3	17.45	11.12	22.39	17.9	15.2	90.1	1.22	73.8
Calcium_Lactate	Error									
Ferrous_lactate	Error									
L(+)-calcium_lactate	Error									
"SODIUM_LACTATE,_L-"	Error									
THREONINE	CC(O)C(N)C(=O)O	C4H9NO3	17.49	9.91	21.19	13.4	14	119.1	1.243	95.9
HEXYLENE_GLYCOL	CC(O)CC(C)(C)O	C6H14O2	16.7	6.94	14.8	10.7	10.6	118.2	0.958	123.4
BUTYLENE_GLYCOL	CC(O)CCO	C4H10O2	17.06	9.05	19.78	15.3	14.2	90.1	0.991	90.9
CALTERIDOL_CALCIUM	Error									
DIISOPROPANOLAMINE	CC(O)CNCC(C)O	C6H15NO2	17.01	7.7	16.08	9	14.3	133.2	0.977	136.4
Propylene_Glycol	CC(O)CO	C3H8O2	17.27	10.18	22.11	17.5	16	76.1	1.024	74.3
Propylene_glycol_monostearate	Error									
DMDM_HYDANTOIN	CC1(C)C(=O)N(CO)C(=O)N1CO	C7H12N2O4	18.4	14.54	15.36	10.1	11.8	188.2	1.323	142.3
Glycyrrhizin	Error									
Ammoniated_Glycyrrhizin	Error									
EUCALYPTOL	CC12CCC(CC1)C(C)(C)O2	C10H18O	16.65	2.78	2.46	0.4	2.1	154.2	0.927	166.3
Carotene_(beta-carotene)	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1	C40H56	17.74	0.83	1.9	0.1	2.3	536.8	0.93	577
Vitamin_A	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1	C20H30O	17.4	2.15	4.63	3.7	3.6	286.4	0.942	304
Cyanocobalamin	Error									
ACESULFAME_POTASSIUM	Error									
.ALPHA.-TERPINEOL	CC1=CC[C@H](C(C)(C)O)CC1	C10H18O	17.03	3.58	7.66	4.6	5.9	154.2	0.914	168.7
"MENTHOL,_UNSPECIFIED_FORM"	CC1CCC(C(C)C)C(O)C1	C10H20O	16.45	3.51	6.91	5	5.2	156.3	0.839	186.2
PROPYLENE_CARBONATE	CC1COC(=O)O1	C4H6O3	17.39	18.58	7.35	0.3	6.5	102.1	1.173	87
POLYLACTIDE	CC1OC(=O)C(C)OC1=O	C6H8O4	16.55	11.53	6.98	3.8	6.9	144.1	1.167	123.5
POLYGLACTIN	Error									
PROPANE	CCC	C3H8	13.83	0.1	0.1	0.1	0.1	44.1	0.582	75.7
Propionic_acid	CCC(=O)O	C3H6O2	15.31	5.91	12.98	9.4	7.1	74.1	0.99	74.8
Calcium_propionate	Error									
SODIUM_PROPIONATE	Error									
Sodium_propionate	Error									
METHYL_ETHYL_KETONE	CCC(C)=O	C4H8O	15.64	7.78	5.53	0.7	4.6	72.1	0.805	89.5
DINOSEB-AMMONIUM	Error									
"2-ETHYL-1,6-HEXANEDIOL"	CCC(CO)CCCCO	C8H18O2	16.52	6.67	14.56	11.2	9.8	146.2	0.938	155.9
DIPROPYLENE_GLYCOL	CCC(O)OC(O)CC	C6H14O3	16.37	8.19	15.16	11.8	11	134.2	0.977	137.3
BUTANE	CCCC	C4H10	14.32	0.1	0.1	0.1	0.1	58.1	0.624	93.1
BUTYRIC_ACID	CCCC(=O)O	C4H8O2	15.55	5.05	11.8	8.5	6.3	88.1	0.954	92.4
STANNOUS_2-ETHYLHEXANOATE	Error									
DOCUSATE_SODIUM	Error									
DIETHYLHEXYL_PHTHALATE_**See_CDER_Guidance:_Limiting_the_Use_of_Certain_Phthalates_as_Excipients_in_CDER-Regulated_Products	CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC	C24H38O4	16	4.87	2.31	0.1	2.3	390.5	0.977	399.7
OCTISALATE	CCCCC(CC)COC(=O)c1ccccc1O	C15H22O3	17.15	5.47	5.78	4.3	4.3	250.3	1.015	246.6
Linoleic_acid	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O	C18H32O2	16.7	3.14	6.05	4.5	4.2	280.4	0.902	310.9
DIISOPROPYL_DILINOLEATE	Error									
Iron_linoleate_(packaging)	Error									
HEXANE	CCCCCC	C6H14	14.93	0.1	0.1	0.1	0.1	86.2	0.676	127.5
HEPTANE	CCCCCCC	C7H16	15.17	0.1	0.1	0.1	0.1	100.2	0.692	144.8
PROPYLENE_GLYCOL_RICINOLEATE	CCCCCCC(O)C/C=C\CCCCCCCC(=O)OCC(C)O	C21H40O4	16.43	4.44	7.2	5.6	5.5	356.5	0.951	375
TRIHYDROXYSTEARIN	CCCCCCC(O)CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC(O)CCCCCC)OC(=O)CCCCCCCCCCC(O)CCCCCC	C57H110O9	16.56	3.09	0.1	2.5	3.4	939.4	0.942	997.4
Caprylic_Acid	CCCCCCCC(=O)O	C8H16O2	16.28	5.16	10.09	7.3	5.9	144.2	0.904	159.5
PROPYLENE_GLYCOL_DICAPRYLATE	CCCCCCCC(=O)OCC(C)OC(=O)CCCCCCC	C19H36O4	16.24	3.16	4.17	0.1	4.1	328.5	0.931	353
TRICAPRYLIN	CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC	C27H50O6	16.38	3.15	3.66	0.1	4.4	470.7	0.958	491.5
GLYCERYL_MONOCAPRYLATE	CCCCCCCC(=O)OCC(O)CO	C11H22O4	16.64	6.6	11.65	9.7	9	218.3	1.026	212.8
Iron_caprylate_(packaging)	Error									
DISODIUM_OLEAMIDO_MONOETHANOLAMINE_SULFOSUCCINATE	Error									
Oleic_acid_(packaging)	CCCCCCCC/C=C/CCCCCCCC(=O)O	C18H34O2	16.39	3.02	5.51	4.3	3.7	282.5	0.887	318.3
ETHYL_OLEATE	CCCCCCCC/C=C/CCCCCCCC(=O)OCC	C20H38O2	16.13	2.28	2.86	0.1	2.8	310.5	0.87	357
PPG-26_OLEATE	CCCCCCCC/C=C/CCCCCCCC(=O)OCCCO	C21H40O3	16.23	3.71	7.21	5	5.2	340.5	0.917	371.4
POLYSORBATE_80	CCCCCCCC/C=C/CCCCCCCC(=O)OCCOCC(OCCO)C1OC(OCCO)CC1OCCO	C32H60O10	16.28	5.66	10.23	8.2	11.6	604.8	1.064	568.2
SORBITAN_SESQUIOLEATE	Error									
GLYCERYL_OLEATE	Error									
GLYCERYL_TRIOLEATE	CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC	C57H104O6	16.51	1.54	2.64	0.1	2.3	885.4	0.915	967.6
